match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,0.1,Japan,Samoa,A Kano,Erika Oda,O Lefaga,0,1,1,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,0.2,Japan,Samoa,A Kano,Erika Oda,O Lefaga,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,0.3,Japan,Samoa,A Kano,Erika Oda,O Lefaga,0,1,1,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,0.4,Japan,Samoa,A Kano,Erika Oda,O Lefaga,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,0.5,Japan,Samoa,A Kano,Erika Oda,O Lefaga,1,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,0.6,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,0.7,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,1,,1,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,0.8,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,0.9,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,1.1,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,1.2,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,1,1,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,1.3,Japan,Samoa,A Kano,Erika Oda,AF Mapu,4,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,1.4,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,1.5,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,1,1,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,1.6,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,1.7,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,1.8,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,2.1,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,2.2,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,1,1,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,2.3,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,2.4,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,2.5,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,2.6,Japan,Samoa,Erika Oda,A Kano,O Lefaga,4,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,2.7,Japan,Samoa,Erika Oda,A Kano,O Lefaga,0,1,,,,1,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,3.1,Japan,Samoa,Erika Oda,A Kano,AF Mapu,1,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,3.2,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,3.3,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,3.4,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,3.5,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,1,1,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,3.6,Japan,Samoa,A Kano,Erika Oda,AF Mapu,4,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,3.7,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,1,1,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,3.8,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,1,1,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,3.9,Japan,Samoa,A Kano,Erika Oda,AF Mapu,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,4.1,Japan,Samoa,Erika Oda,A Kano,AF Aoina,0,1,1,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,4.2,Japan,Samoa,Erika Oda,A Kano,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,4.3,Japan,Samoa,Erika Oda,A Kano,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,4.4,Japan,Samoa,Erika Oda,A Kano,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,4.5,Japan,Samoa,Erika Oda,A Kano,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,4.6,Japan,Samoa,Erika Oda,A Kano,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,4.7,Japan,Samoa,Erika Oda,A Kano,AF Aoina,1,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,5.1,Japan,Samoa,Erika Oda,A Kano,T Iosefo,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,5.2,Japan,Samoa,Erika Oda,A Kano,T Iosefo,1,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,5.3,Japan,Samoa,A Kano,Erika Oda,T Iosefo,0,0,,,,,,caught,A Kano,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,5.4,Japan,Samoa,M Yanagida,Erika Oda,T Iosefo,2,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,5.5,Japan,Samoa,M Yanagida,Erika Oda,T Iosefo,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,5.6,Japan,Samoa,M Yanagida,Erika Oda,T Iosefo,4,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,6.1,Japan,Samoa,Erika Oda,M Yanagida,AF Aoina,1,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,6.2,Japan,Samoa,M Yanagida,Erika Oda,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,6.3,Japan,Samoa,M Yanagida,Erika Oda,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,6.4,Japan,Samoa,M Yanagida,Erika Oda,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,6.5,Japan,Samoa,M Yanagida,Erika Oda,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,6.6,Japan,Samoa,M Yanagida,Erika Oda,AF Aoina,2,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,7.1,Japan,Samoa,Erika Oda,M Yanagida,T Iosefo,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,7.2,Japan,Samoa,Erika Oda,M Yanagida,T Iosefo,4,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,7.3,Japan,Samoa,Erika Oda,M Yanagida,T Iosefo,1,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,7.4,Japan,Samoa,M Yanagida,Erika Oda,T Iosefo,1,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,7.5,Japan,Samoa,Erika Oda,M Yanagida,T Iosefo,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,7.6,Japan,Samoa,Erika Oda,M Yanagida,T Iosefo,2,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,8.1,Japan,Samoa,M Yanagida,Erika Oda,AF Aoina,1,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,8.2,Japan,Samoa,Erika Oda,M Yanagida,AF Aoina,0,0,,,,,,,,,
1499788,2025,2025-09-10,"Albert Park 1, Suva",1,8.3,Japan,Samoa,Erika Oda,M Yanagida,AF Aoina,1,0,,,,,,,,,
