match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,0.1,Singapore,Cambodia,Shafina Mahesh,DA Galia,LY Loch Srey,0,1,1,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,0.2,Singapore,Cambodia,Shafina Mahesh,DA Galia,LY Loch Srey,0,1,1,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,0.3,Singapore,Cambodia,Shafina Mahesh,DA Galia,LY Loch Srey,0,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,0.4,Singapore,Cambodia,Shafina Mahesh,DA Galia,LY Loch Srey,0,1,1,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,0.5,Singapore,Cambodia,Shafina Mahesh,DA Galia,LY Loch Srey,0,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,0.6,Singapore,Cambodia,Shafina Mahesh,DA Galia,LY Loch Srey,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,0.7,Singapore,Cambodia,DA Galia,Shafina Mahesh,LY Loch Srey,0,1,,,,1,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,0.8,Singapore,Cambodia,Shafina Mahesh,DA Galia,LY Loch Srey,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,0.9,Singapore,Cambodia,DA Galia,Shafina Mahesh,LY Loch Srey,0,0,,,,,,bowled,DA Galia,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,1.1,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Sok Srey Maov,0,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,1.2,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Sok Srey Maov,0,1,1,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,1.3,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Sok Srey Maov,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,1.4,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,0,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,1.5,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,0,1,1,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,1.6,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,0,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,1.7,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,2,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,1.8,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,2.1,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Heal Theara,0,1,,,,1,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,2.2,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Heal Theara,0,1,1,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,2.3,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Heal Theara,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,2.4,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Heal Theara,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,2.5,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Heal Theara,2,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,2.6,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Heal Theara,0,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,2.7,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Heal Theara,0,1,,,,1,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,3.1,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,LY Loch Srey,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,3.2,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,LY Loch Srey,0,1,,,,1,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,3.3,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,LY Loch Srey,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,3.4,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,LY Loch Srey,0,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,3.5,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,LY Loch Srey,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,3.6,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,LY Loch Srey,2,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,4.1,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,0,1,,,1,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,4.2,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Sok Srey Maov,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,4.3,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,0,1,1,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,4.4,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,4,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,4.5,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,0,1,1,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,4.6,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,0,1,,,1,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,4.7,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Sok Srey Maov,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,4.8,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Sok Srey Maov,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,5.1,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Heal Theara,0,1,1,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,5.2,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Heal Theara,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,5.3,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Heal Theara,0,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,5.4,Singapore,Cambodia,Shafina Mahesh,Vinu Kumar,Heal Theara,1,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,5.5,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Heal Theara,0,0,,,,,,,,,
1498203,2025,2025-08-13,Singapore National Cricket Ground,1,5.6,Singapore,Cambodia,Vinu Kumar,Shafina Mahesh,Heal Theara,1,0,,,,,,,,,
