match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.1,Nepal,Thailand,B Rawal,Samjhana Khadka,P Maya,0,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.2,Nepal,Thailand,B Rawal,Samjhana Khadka,P Maya,0,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.3,Nepal,Thailand,B Rawal,Samjhana Khadka,P Maya,0,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.4,Nepal,Thailand,B Rawal,Samjhana Khadka,P Maya,1,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.5,Nepal,Thailand,Samjhana Khadka,B Rawal,P Maya,0,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.6,Nepal,Thailand,Samjhana Khadka,B Rawal,P Maya,4,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.1,Nepal,Thailand,B Rawal,Samjhana Khadka,C Sutthiruang,0,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.2,Nepal,Thailand,B Rawal,Samjhana Khadka,C Sutthiruang,0,1,1.0,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.3,Nepal,Thailand,B Rawal,Samjhana Khadka,C Sutthiruang,0,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.4,Nepal,Thailand,B Rawal,Samjhana Khadka,C Sutthiruang,0,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.5,Nepal,Thailand,B Rawal,Samjhana Khadka,C Sutthiruang,0,0,,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.6,Nepal,Thailand,B Rawal,Samjhana Khadka,C Sutthiruang,0,1,1.0,,,,,,,,
1515211,2025/26,2026-01-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.7,Nepal,Thailand,B Rawal,Samjhana Khadka,C Sutthiruang,0,1,1.0,,,,,,,,
